"HomeTeam","AwayTeam",HF,AF,HC,AC,HTHG,HTAG,RedsPerGame,YellowsPerGame,FaulesPerGame,AwayRedsPerGame,AwayYellowsPerGame,AwayFaulesPerGame,WinsPerGame,AwayWinsPerGame,Paciencia
"Burnley","Swansea",10,14,3,8,0,0,0.0395,1.6513,10.6316,0.0526,1.3910,9.9135,0.2632,0.3083,0.1610
"Crystal Palace","West Brom",12,15,2,6,0,0,0.0368,1.7263,12.0526,0.0622,1.6196,11.3469,0.3158,0.2536,0.1546
"Everton","Tottenham",10,14,0,0,1,0,0.0851,1.5139,12.1517,0.0743,1.4907,11.2771,0.3824,0.4644,0.1564
"Hull","Leicester",8,17,2,6,1,0,0.1263,1.7368,12.2526,0.1015,1.5451,11.8872,0.2158,0.3120,0.1695
"Man City","Sunderland",11,14,1,4,1,0,0.0855,1.6201,11.5378,0.0959,1.8233,12.2895,0.4951,0.2387,0.1516
"Middlesbrough","Stoke",18,14,3,11,1,0,0.0822,1.6875,12.9178,0.0789,1.8105,11.7605,0.2632,0.3053,0.1614
"Southampton","Watford",8,12,1,4,0,1,0.0737,1.3816,11.9921,0.0921,1.7632,13.0263,0.3421,0.2566,0.1374
"Arsenal","Liverpool",13,17,3,9,1,1,0.0882,1.5186,11.0464,0.0604,1.3607,10.9412,0.5728,0.5217,0.1505
"Bournemouth","Man United",7,10,0,1,0,1,0.0439,1.3860,9.3421,0.0604,1.5062,11.1223,0.2982,0.6362,0.1594
"Chelsea","West Ham",16,16,5,12,0,0,0.0882,1.6115,11.1981,0.0789,1.7491,11.8281,0.5913,0.3123,0.1677
"Man United","Southampton",11,8,0,0,1,0,0.0604,1.5062,11.1223,0.0737,1.3816,11.9921,0.6362,0.3421,0.1677
"Burnley","Liverpool",14,5,0,1,2,0,0.0395,1.6513,10.6316,0.0604,1.3607,10.9412,0.2632,0.5217,0.1450
"Leicester","Arsenal",11,7,1,4,0,0,0.1015,1.5451,11.8872,0.0882,1.5186,11.0464,0.3120,0.5728,0.1526
"Stoke","Man City",12,13,3,10,0,2,0.0789,1.8105,11.7605,0.0855,1.6201,11.5378,0.3053,0.4951,0.1695
"Swansea","Hull",7,10,0,0,0,0,0.0526,1.3910,9.9135,0.1263,1.7368,12.2526,0.3083,0.2158,0.1692
"Tottenham","Crystal Palace",19,9,3,9,0,0,0.0743,1.4907,11.2771,0.0368,1.7263,12.0526,0.4644,0.3158,0.1505
"Watford","Chelsea",20,10,4,11,0,0,0.0921,1.7632,13.0263,0.0882,1.6115,11.1981,0.2566,0.5913,0.1610
"West Brom","Everton",16,10,3,7,1,1,0.0622,1.6196,11.3469,0.0851,1.5139,12.1517,0.2536,0.3824,0.1633
"Sunderland","Middlesbrough",11,14,1,3,0,2,0.0959,1.8233,12.2895,0.0822,1.6875,12.9178,0.2387,0.2632,0.1564
"West Ham","Bournemouth",15,15,3,7,0,0,0.0789,1.7491,11.8281,0.0439,1.3860,9.3421,0.3123,0.2982,0.1546
