"Team",RedsPerGame,YellowsPerGame,WinsPerGame,FaulesPerGame
"Man United",0.0604,1.5062,0.6362,11.1223
"Chelsea",0.0882,1.6115,0.5913,11.1981
"Arsenal",0.0882,1.5186,0.5728,11.0464
"Liverpool",0.0604,1.3607,0.5217,10.9412
"Man City",0.0855,1.6201,0.4951,11.5378
"Tottenham",0.0743,1.4907,0.4644,11.2771
"Everton",0.0851,1.5139,0.3824,12.1517
"Newcastle",0.1018,1.5579,0.3544,12.0000
"West Ham",0.0789,1.7491,0.3123,11.8281
"Aston Villa",0.0702,1.6509,0.3070,12.3825
"Fulham",0.0636,1.4254,0.3026,11.5987
"Blackburn",0.1184,1.7895,0.3447,13.5289
"Southampton",0.0737,1.3816,0.3421,11.9921
"Sunderland",0.0959,1.8233,0.2387,12.2895
"Stoke",0.0789,1.8105,0.3053,11.7605
"Bolton",0.0895,1.7553,0.3053,12.7421
"West Brom",0.0622,1.6196,0.2536,11.3469
"Wigan",0.0888,1.7039,0.2796,12.1382
"Leicester",0.1015,1.5451,0.3120,11.8872
"Swansea",0.0526,1.3910,0.3083,9.9135
"Middlesbrough",0.0822,1.6875,0.2632,12.9178
"Charlton",0.0789,1.3158,0.3202,12.3816
"Portsmouth",0.0789,1.5658,0.3026,13.1184
"Birmingham",0.1053,1.6184,0.2719,12.2500
"Leeds",0.0987,1.8816,0.3947,14.9474
"Crystal Palace",0.0368,1.7263,0.3158,12.0526
"Hull",0.1263,1.7368,0.2158,12.2526
"Burnley",0.0395,1.6513,0.2632,10.6316
"Watford",0.0921,1.7632,0.2566,13.0263
"Norwich",0.0592,1.5921,0.2566,10.6316
"Bournemouth",0.0439,1.3860,0.2982,9.3421
"Wolves",0.0789,1.6908,0.2105,11.3684
"Reading",0.0789,1.2807,0.2807,10.6754
"Ipswich",0.0395,0.9474,0.3816,11.3158
"QPR",0.1316,1.6754,0.1930,10.7018
"Derby",0.0526,1.8509,0.1667,13.6579
"Middlesboro",0.1316,1.3158,0.3421,12.5263
"Blackpool",0.0526,1.2368,0.2632,10.6053
"Sheffield United",0.0526,1.7895,0.2632,11.9737
"Huddersfield",0.0789,1.6053,0.2368,10.4211
"Brighton",0.0526,1.4211,0.2368,10.8684
"Coventry",0.1053,2.0000,0.2105,13.9211
"Cardiff",0.0263,1.2895,0.1842,9.0000
"Bradford",0.0263,1.5000,0.1316,13.6053
